comments,date,symbol
"@GalihWahyu09 MASYARAKAT 1.50 B 18.8788%
5 milyar/ 500 juta = +- 7-8 % lot di miliki masyarakat, emang emang bakal ada yang amgakt harga dengan akumulasi 7% sahamnya ? Current Tang. Book Value Per Share Rp 162, pbv 1,5 kali.laba bersih 70 milyar,hutang Rp 1,5 T, butuh 15 tahun untuk bayar hutang. skip dulu $TRGU semakin lama hold,pemegang saham lama distribusi mencoba exit dulu biar ritel akumulasi,di bursa gak bisa ada hope kalau fundamental gak bagus, aneh nya net income
Q2 1,561 B laba 20 milyar
Q3 988 B laba 50 milyar
ini perusahaan ngepet atau atau gimana revenue turun 30% net income nai 60% .logika aja boy.","4 Nov 22, 02:06",TRGU
$PDPP yang waktu itu persen $TRGU dapat jatah berapa persen pas IPO gan????,"3 Nov 22, 17:20",TRGU
Jadi inget $TRGU sama $WIRG. Pompomers mah semua sama aja wkwkwkw,"3 Nov 22, 15:07",TRGU
$TRGU diem diem bae...,"3 Nov 22, 13:51",TRGU
klo sendirian biasanya terbang macam $TRGU,"3 Nov 22, 08:58",TRGU
"@Indras1183 $TRGU cek aja LK nya, piutangnya macet 300 Man karena menjual ke afiliasi, afiliasi nunggu laku, makanya cashflow nambah hutang bank 500 Milyar buat nutupin operasional.","3 Nov 22, 08:42",TRGU
"$TRGU KEJUTAN, Prediksi Besok akan ARB…
Siapkan Mental… $BOSS","2 Nov 22, 23:35",TRGU
$TRGU Hope is Good,"2 Nov 22, 10:31",TRGU
$TRGU hahahaha....kena pom pom,"1 Nov 22, 14:25",TRGU
@TRGU akan terbang hari ini,"1 Nov 22, 09:07",TRGU
"$TRGU

Tunggu di 214","1 Nov 22, 05:50",TRGU
"$TRGU Akum belum selesai main digas aja, jadinya diguyur 😔","31 Oct 22, 16:02",TRGU
$TRGU diprank balik kandang ya... mulai cicil lg ah 🤣🤣🤣,"31 Oct 22, 14:49",TRGU
"TRGU scores IDR 72.48 billion in third quarter net profit
TRGU - PT. Cerestar Indonesia Tbk Rp 230 +4 (+1,74%) More Info! JAKARTA - PT Cerestar Indonesia Tbk (TRGU) managed to book a net profit of IDR 72.48 billion in the third quarter of 2022, or 3.6 times the 2022 net profit target of IDR20 billion. The Company managed to record a 320% YoY increa...","31 Oct 22, 14:10",TRGU
@TRGU ngeprank,"31 Oct 22, 13:42",TRGU
$TRGU PSP ga kasih naik owkwkkwkw,"31 Oct 22, 10:32",TRGU
$TRGU setelah nyangkut di 240 akhirnya bs exit. TP pula 🤣,"31 Oct 22, 10:06",TRGU
"$TRGU jgn kembali ke kandang ya , malu2in pompomers mu . paling gak kasih 1 tik","31 Oct 22, 10:01",TRGU
"News Today
👉 Sri Mulyani: resesi bukan tantangan mudah, meski RI pernah krismon.
👉 Harga Emas Antam stagnan di posisi Rp 939rb/gram.
👉 Harga Minyak turun 1% pada pedagang Jum'at kemarin setelah Tiongkok memperluas Lock Down Covid.
👉 $LPCK catatkan laba bersih Rp 274,19M pada kuartal III/2022, turun 20,3% secara yoy.
👉 $MBAP meraih Laba bersih USD 162,36jt di kuartal III/2022, melonjak 237,5% secara yoy
👉 meraih Laba bersih Rp 72,48M pada kuartal III/2022, meroket 320% secara yoy.
👉 catatkan Laba bersih USD 6,462jt pada kuartal III/2022, turun 6,2% secara yoy.
👉 Akibat nilai tukar Rupiah melemah, catat rugi bersih Rp 169,38M di Q3/2022, semakin memburuk secara yoy.","31 Oct 22, 09:17",TRGU
"Baru IPO, Laba Cerestar (TGRU) Melambung 320 Persen ke Rp72 Miliar di Kuartal III
EmitenNews.com—PT Cerestar Indonesia Tbk (TRGU), emiten produsen tepung olahan gandum yang baru mencatatkan sahamnya di Bursa Efek Indonesia pada bulan Juli 2022 lalu, berhasil membukukan laba bersih sebesar Rp72,48 miliar pada kuartal III 2022, atau 3,6 kali lipat dari target laba bersih 2022. Pe...","31 Oct 22, 08:55",TRGU
"KINERJA EMITEN 9M22

$AALI
PENDAPATAN Rp16,517.2 miliar (9M22) vs. Rp18,014.5 miliar (9M21)
LABA BERSIH* Rp1,215.9 miliar (9M22) vs. Rp1,469.2 miliar (9M21)

$ABDA
PENDAPATAN Rp596.0 miliar (9M22) vs. Rp601.5 miliar (9M21)
LABA BERSIH* Rp81.2 miliar (9M22) vs. Rp116.1 miliar (9M21)


PENDAPATAN Rp793.8 miliar (9M22) vs. Rp1,080.6 miliar (9M21)
LABA BERSIH* -Rp227.0 miliar (9M22) vs. -Rp385.8 miliar (9M21)


PENDAPATAN Rp168.5 miliar (9M22) vs. Rp152.4 miliar (9M21)
LABA BERSIH* Rp5.4 miliar (9M22) vs. -Rp3.3 miliar (9M21)


PENDAPATAN Rp2,548.6 miliar (9M22) vs. Rp2,613.1 miliar (9M21)
LABA BERSIH* Rp72.5 miliar (9M22) vs. Rp17.3 miliar (9M21)

*Laba bersih yang diatribusikan kepada pemilik entitas induk
Sumber: Emiten,","31 Oct 22, 04:41",TRGU
@StockbitNews $TRGU,"30 Oct 22, 22:04",TRGU
"Produsen Cerestar (TRGU) Janji Tebar Dividen, Efek Laba Naik
https://bit.ly/147E996, JAKARTA — Emiten produsen tepung olahan gandum PT Cerestar Indonesia Tbk. (TRGU) melaporkan lonjakan laba sepanjang periode Januari hingga September 2022. Perseroan memastikan bakal membagikan dividen kepada pemegang saham setelah torehan tersebut.Berdasarkan laporan keuangan, TRGU mem...","30 Oct 22, 19:56",TRGU
$TRGU SELL on Good News ✌🏻,"30 Oct 22, 10:40",TRGU
"@trendlines kagak bakalan dikasih naik lah,siapa juga yang mau akumulasi dengan valuasi
Size
Market Cap
1,482 B
Enterprise Value
1,367 B
Current Share Outstanding
6.45 B
MASYARAKAT
1.50 B
18.8788%
Current Tang. Book Value Per Share
162.77 PBV 2,15 kali
Current PE Ratio (Annualised)
37.64 Kali

Volume harian menurun,MG Masih Distribusi dengan Floating profit,kalau ada yang transaksi di pasar nego dengan jumlah besar dan harga di bawwah average bandarnya,yah kelar kalau yang akum distribusi juga,sebab yang lagi floating loss ogah CL.aneh ya.

XC 6.7 B 359
CC 6.3 B 326
MK 3.1 B 360
PO 2.9 B 281
NI 2.7 B 353
DR 2.3 B 341

lagian yang nyangkut di lumayan banyak.kayaknya aliran fundamental anti Cut loss susah,kalau lihat jumlah transaksi harian
kalau gini mending ke $ daripada
Kemaren sempat hold tapi udah CL minus 1 % ,dan lama ketahan padahal windows dressing udah jalan dan IPO menggiurkan kalau gak dulu lah.palingan cuma dapt selot2,jatah besarnya mah mamang","29 Oct 22, 21:56 · Edited on 29 Oct 22, 21:57",TRGU
$TRGU gue yakin seyakinnya nih barang kaga dikasi naik 🤣,"29 Oct 22, 19:24",TRGU
"Laba Bersih TRGU Melesat 320% Hingga Kuartal III-2022
Warta Ekonomi, Jakarta -
Emiten produsen tepung olahan gandum, PT Cerestar Indonesia (TRGU) meraih laba bersih sekitar Rp72,48 miliar hingga akhir kuartal III-2022. Realisasi tersebut tumbuh 320% dibandingkan dengan laba bersih di periode yang sama tahun lalu.


“Pencapaian laba bersih yang telah...","29 Oct 22, 17:55",TRGU
$TRGU udah disiapin tempat di bulan..,"29 Oct 22, 15:49",TRGU
"~Petani Yaman Beralih Menanam Gandum Sendiri Di Tengah Harga Yang Melonjak Tajam~

🌾🌾🌾
Beberapa petani Yaman telah beralih menanam gandum mereka sendiri karena gangguan global telah menghambat impor dan membuat harga melonjak di Yaman, di mana konflik tujuh tahun telah mendorong orang lebih dalam ke dalam kemiskinan dan membuat jutaan orang kelaparan, lapor Reuters.

Petani, Khaled Maasar, mengatakan sebagian besar orang Yaman tidak mampu membeli gandum asing dengan harga naik menjadi sekitar 20.000 riyal, setara dengan $33. Inflasi harga pangan telah berlipat ganda hanya dalam dua tahun di beberapa bagian negara.

“Jika petani bekerja di ladang dan ini memberinya penghasilan, maka ini adalah berkah yang luar biasa. Inilah yang mendorong orang kembali bertani gandum,” katanya.

Konflik di Yaman yang dimulai pada 2014 dan membagi negara itu antara gerakan yang dipimpin Houtsi dan pemerintah yang didukung Saudi telah menghancurkan ekonomi dan infrastruktur dasar.

“Akibat krisis Ukraina, orang-orang yang sebelumnya tidak menanam, kini mulai menanam (gandum) di tanah mereka,” kata petani, Abdo Mohsn Sinan. “Sekarang orang memanfaatkan tanah mereka, yang lebih baik daripada mengandalkan impor.”

Produksi gandum lokal skala besar di Yaman menjadi tantangan karena air irigasi langka, dan infrastruktur untuk memanfaatkan curah hujan kurang.

Pada 2021, Yaman memproduksi sekitar 250.000 ton gandum. Pemerintah meluncurkan proyek untuk menambah hektar untuk penanaman gandum.

“Kementerian Pertanian harus mendukung petani dengan benih dan biji-bijian, serta sumur dan bendungan,” kata Saleh Hababi, yang bekerja sebagai pedagang di ibu kota yang dikuasai Houtsi, Sana’a.

“Ini akan meningkatkan produksi lokal dan kita tidak perlu bergantung pada impor sama sekali.” 

🔗🔗🔗
Source:","28 Oct 22, 22:32",TRGU
Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [TRGU],"28 Oct 22, 14:50",TRGU
"$TRGU Kisi Kisi Q3 TRGU
https://cutt.ly/sNg7Uqw","27 Oct 22, 15:56",TRGU
"Thanks to bandar $CHEM membuat hijau porto ... ga sia sia avg down

di saat $SIDO masih merah $ASHA masih merangkak

dan terjebak di $TRGU wkwkwk","27 Oct 22, 15:10",TRGU
$TPIA $TINS $ISSP $TRGU bikin ngantuk..,"27 Oct 22, 11:16",TRGU
$TRGU Lemah syahdu..,"27 Oct 22, 10:00",TRGU
$TRGU manggung bsk..,"26 Oct 22, 18:23",TRGU
Cuma tau $TRGU yg dikawal MG. Gak tau kenapa hancur begitu...,"25 Oct 22, 12:03",TRGU
"Chart $TRGU

Masih downtrend, harga masih tertahan...
Sudah murah belum? Apa masih bisa turun lagi?","24 Oct 22, 10:44",TRGU
$TRGU besok naik,"23 Oct 22, 20:46",TRGU
$TRGU HAKAAA..,"21 Oct 22, 09:37",TRGU
"$TRGU Kalau di Rumah Sakit ini ""tanda tanda""","21 Oct 22, 09:18",TRGU
$TRGU,"20 Oct 22, 20:22",TRGU
"Informasi beberapa laporan keuangan bank yang akan rilis ke depan, sudah saya share ke group premium pertamaks ron 666 kencingan tangki, tempat saya numpang. Tidak saya share di stockbit. Terima kasih

Selamat makan.

random:

$BUMI $MBAP $BMTR $SLIS $TRGU","20 Oct 22, 19:22",TRGU
$TRGU ngentodddddddd,"20 Oct 22, 13:57",TRGU
$SICO liat bid nya jadi keinget $TRGU,"20 Oct 22, 10:34",TRGU
"Akum $TRGU ada yang mau ikut? ☺☺
.
.
$SLIS $BUMI $ANTM $BBCA","20 Oct 22, 09:11",TRGU
"$LSIP wah udh mulai goreng"" nih.. tambahin buat bikin bakwan $TRGU","19 Oct 22, 21:14",TRGU
$TRGU buat bikin bakwan masa kalah sm harga bakwan..,"19 Oct 22, 15:33",TRGU
$TRGU sesi dua yok..,"19 Oct 22, 12:01",TRGU
$TRGU masih sepi,"19 Oct 22, 10:20",TRGU
$TRGU terigu belum saatnya melaju,"18 Oct 22, 18:56",TRGU
"PT Cerestar Indonesia Tbk (TRGU) Optimis Laba Tahun 2022 Tercapai Di Atas 100% Dari Target
Emiten produsen tepung olahan gandum yang merupakan bagian dari Cerestar Group, PT Cerestar Indonesia Tbk (TRGU) mengaku, sekalipun ada bayang-bayang ancaman resesi ekonomi, Perseroan tetap optimis laba tahun 2022 akan dapat tercapai di atas 100% dari target.Optimistis itu didasari pencapaian di pad...","18 Oct 22, 07:56",TRGU
"$TRGU saham beredar 18% dengan kepemilikan ritel 7,5 % dari 1,5 milya lembar saham setara 1,12 juta lot saham Rp,25 milyar. rata2 transaksi 1 juta lot,belum ada sentimen laporan keuangan atau news yang bisa membuat ritel/big fund akumulasi saham ini dalam waktu dekat,secara fundamental DER sangat besar, dengan ROE yang lumayan kecil,pbv masih Rp 100 jadi dengan harga IPO dan harga sekarang masih https://cutt.ly/3BKmfgg di bawah dengan asumsi,no news no sentimen.dengan asumsi bandar tidak melakukan akumulasi di harga atas Karna belum undervalued,dengan net income asumsi perusahaan ini hanya bisa bagi dividen tidak lebih dari 1 rupiah.itupun jika ada pembagian dividen,dari ratio pembagian dividen 20-30%","18 Oct 22, 06:46",TRGU
$TRGU,"18 Oct 22, 05:15",TRGU
"Kejar Target, Cerestar Indonesia (TRGU) Segera Operasikan Fasilitas Baru
JAKARTA, https://bit.ly/2xtw1Yt - Emiten produsen tepung olahan gandum yakni PT Cerestar Indonesia Tbk (TRGU) segera operasikan fasilitas handling pakan ternak secara komersial. Hal ini sejalan dengan niatan perseroan untuk melebarkan rentang bisnis sekaligus meningkatkan pendapatan.Direktur Utama Cerestar Ind...","18 Oct 22, 04:40",TRGU
"Cerestar (TRGU) Ekspansi Bisnis ke Pakan Ternak Pakai Dana IPO
https://bit.ly/147E996, JAKARTA — Emiten produsen tepung olahan gandum bagian dari Cerestar Group, PT Cerestar Indonesia Tbk. (TRGU) melakukan ekspansi ke bisnis pakan ternak menggunakan dana IPO. Perusahaan akan segera mengoperasikan fasilitas handling pakan ternak yang tengah dibangunnya secara komersial.Da...","17 Oct 22, 16:55",TRGU
"TRGU aims animal feed ingredients handling facilities to operate in Q2 2023
TRGU - PT. Cerestar Indonesia Tbk Rp 230 -4 (-1,74%) More Info! JAKARTA - PT Cerestar Indonesia Tbk (TRGU),  will soon operate a commercial animal feed handling facility to expand its business range while increasing revenue.  TRGU's expansion into the animal feed ingredients business comple...","17 Oct 22, 14:40",TRGU
"$RAJA ARA KAN NDAR🚀
$BUMI
$BOSS
$TRGU
$BKSL","17 Oct 22, 10:49",TRGU
$TRGU jemput yok...,"17 Oct 22, 09:21",TRGU
