date,comment,symbol
"16 Dec 22, 18:24","yukkk $PANI kite liat bocil2 scalper trxnya 14-16 Des :
trx tidak nett, tujuannya melihat jual-beli sekuritas, asumsi sesama sekuritas


CC beli avg 997 jual avg 993
PD beli avg 992 jual avg 992
ZP beli avg 991 jual avg 992
YP beli avg 994 jual avg 997

KK beli avg 1003 & belum jual
MG beli avg 997 & belum jual
XL beli avg 993 & belum jual
XC beli avg 991 & belum jual
LG beli avg 988 & belum jual

ini data 14-16 Des tidak nett. kira2 bandar kah? menurut saya, ini bocil-bocil scalper. 😂 😂 😆

sudahkahh anda CutLoss harii ini??? 😂 😆

happy weekend.",PANI
"16 Dec 22, 16:58 · Edited on 17 Dec 22, 11:01","$IHSG

Edisi Good Luck

Berbicara performa suatu Emiten di Tahun 2022 ini, tidak lengkap tanpa suatu bukti bahwa Market adalah hal yang seringkali Acak. Jangan berpikir Anda dapat mengambil semua profit yang ada karena performa Emiten yang Anda punya juga Acak, seringkali terlepas dari dasar fundamental atau technical yang Anda lakukan untuk Analisis masa depan Harga.

Market IHSG tiada Ergodic karena tiada terkait langsung dengan segala metrik yang digunakan. Penilaian Anda adalah Multi Facets (banyak sekali sudut pandang) tanpa metrik dasar sebagai acuan.

Untuk membuktikan Kita dapat mengambil performa Emiten Acak dan Analisis dari Emiten:

1. Emiten dengan performa tidak bagus, juga memiliki return Harga yang superior negative di tahun ini. Misal . Sepanjang tahun ini performa Harga sudah turun -87.14% tanpa dividen sehingga untuk recovery Anda harus untung hampir sekitar 900%.

2. Emiten dengan performa tidak bagus, tapi memiliki return Harga yang superior positive tahun ini. Misal . Sepanjang tahun ini performa harga adalah 700.81%. Anda dapat melihat bagaimana Harga disetir ke angkasa dan kemungkinan mendapat return superior, jika berhasil keluar (liquiditas kurang baik). Jangan salah asumsi, jika Anda tidak mengikuti right issued wajib, performa malah turun menjadi negative -42.61% tanpa dividen.

3. Emiten dengan performa bagus, tapi memiliki return Harga yang superior negative tahun ini. Misal . Sepanjang tahun ini performa negative -66.05% sudah dengan memperhitungkan gain dividen.

4. Emiten dengan performa bagus, juga memiliki return Harga yang superior positive tahun ini. Misal . Sepanjang tahun ini performa positive 404.16% sudah dengan dividen. Olala. Mereka juga melakukan Stock Split, namun ini tidak berpengaruh pada return YTD.

Return akan sesuai dengan performa Emiten jika All-In namun akan terpisah jika Anda melakukan Diversifikasi. Diversifikasi juga bukan cara yang Wise untuk bertarung di Market ini, juga tidak dapat melindungi Anda dari resiko return negative. Ketika asumsi Anda tidak bertahan hanya karena satu bukti atau satu observasi yang terukur benar, maka asumsi (lama) Anda (memang) tiada benar.

Kita semua berharap dapat menangkap return ala BYAN ditahun ini dan Very Good Luck bagi yang sudah berhasil, dengan analisa apapun yang digunakannya, walau memilih hanya dengan menebak-nebak isi buah Manggis untuk segala kompleksitas yang terbentuk.

Good Luck.

Amor Fati.

🤣",PANI
"16 Dec 22, 16:04",$PANI jadi nih bang muter lagu pampedaknya ??,PANI
"16 Dec 22, 15:42 · Edited on 17 Dec 22, 11:52","$LPCK meikarta jadi proyek mangkrak 🤔
https://cutt.ly/w0EE9fx

$PANI $APLN $SMRA $BSDE",PANI
"16 Dec 22, 15:04",$PANI LK mana LK...,PANI
"16 Dec 22, 15:00",$PANI bangkee selalu Jumat merahh,PANI
"16 Dec 22, 14:34","jadi penasaran nunggu broksum $PANI yg tdk nett, jadi keliatan jual beli para bocil scalper.",PANI
"16 Dec 22, 13:59","$PANI kelakuan bandar, tiap Minggu hijau sehari. merah 4 hari",PANI
"16 Dec 22, 11:16",$PANI yesss,PANI
"16 Dec 22, 10:58",$PANI yg tau 14 hari lagi nie,PANI
"16 Dec 22, 08:50",$PANI Jumat bad day khah? seremm😭😭😭,PANI
"15 Dec 22, 21:20",$PANI,PANI
"15 Dec 22, 15:38",$PANI Gmna om,PANI
"15 Dec 22, 15:17",$PANI dibetot lagi sampah emang,PANI
"15 Dec 22, 15:04",$PANI asemmm bad dayy lagi 😭😭😭,PANI
"15 Dec 22, 14:20","$CHEM-W makasihhh....

bgini ya bocil2 scalper, nyari cuan yg volume gedee jgn yg kecil volumenya kek $PANI
😂 😆",PANI
"15 Dec 22, 11:53",$PANI mana nih yg kmrn pasang 50 rb lot di 1000 kok gk masang lagi?,PANI
"15 Dec 22, 11:08","$PANI good day kasih hijau pekat donk hari Kamis , Krn Jumat udah pasti merah diatasi 2 persen",PANI
"15 Dec 22, 10:48",$PANI kapan 1800 lagi yak huhu,PANI
"15 Dec 22, 10:08",$PANI APA KABAR ? APAKAH MASIH SEHAT?,PANI
"15 Dec 22, 09:57","inilah kenyataan $CHEM

⚽ $ZATA ⚽ $MARI ⚽ $BOLA $PANI ⚽",PANI
"15 Dec 22, 09:13","hallooo bocil scalper $PANI gak bisa liat orderbook? baru 40 juta rupiahhhh...masihhh aja scalping disini??? cepet tobattt boss...banyak yg rame, gue ake lagi maen di $WAPO jam segini value udah 4 Milyar.

disc on
#gak ngajak jual beli saham apapun",PANI
"15 Dec 22, 08:36",$PANI,PANI
"15 Dec 22, 07:03","akhirnyaa om Powell naikkk terossss...yukkk gasss sampe 7% baru 4.5% nih om Powell sd Des 2022
😂
tinggal nunggu realease BI Rate. sektor apa aja yg kena dampak di IDX?

Berkurangnya cheap money semakin nyata.

Tetap investasi di leher keatas & hati2 penipuan ya gaeeesss

random tag",PANI
"14 Dec 22, 20:51",makan $ROTI dtemenin sama neng $INDY dan neng $PANI yang wanginya $HRUM ....rasanya $ENAK sekali...,PANI
"14 Dec 22, 15:22",$PANI manipulasi closing bid offer again. Bid diisi tp close offer & ga bisa habis,PANI
"14 Dec 22, 14:36","$PANI Senin good day , Selasa bad day , Rabu bad day , Jumat bad day
tinggal Kamis",PANI
"14 Dec 22, 14:24",$PANI,PANI
"14 Dec 22, 14:14 · Edited on 14 Dec 22, 14:31",yuukkkkkk bisa yuukkkkkk 815 Ndarrrrrrr 😜 $PANI,PANI
"14 Dec 22, 13:47",$PANI hmm 16 hari lagi ya guys 😀😀,PANI
"14 Dec 22, 13:31",$PANI hai para Ritel... jauhi saham truk sampah ini...... semoga ARB selama 2 bulan...,PANI
"14 Dec 22, 13:28","$PANI cabut donk ndar offer 1000 nya , sakit perut liatnya",PANI
"14 Dec 22, 12:49","$PANI kapan naeknya ini, betah bbet di 995 😣😣😣",PANI
"14 Dec 22, 10:35","$PANI offer 50ribu lot? wkwkwk
Dia mau pindah ke penajam, Balikpapan, kaltim wkwkwk
perlu duit buat beli tanah di situ dapat lebih banyak dan lebih murah bisa naik berlipat-lipat wkwkwk",PANI
"14 Dec 22, 10:18",$PANI fiks rabu bad day,PANI
"14 Dec 22, 10:17",$PANI bubar buat aja ah malas liat offer di 1000,PANI
"14 Dec 22, 09:50",$PANI makin remek,PANI
"14 Dec 22, 09:40",$PANI yang jemur 50 rebu lot di 1000 harusnya tahu tidak bakal ada yang mau makan barang segitu apalagi pani bukan saham likuid......yang beli 50 rebu juga mikir kali mau jualnya gimana.......,PANI
"14 Dec 22, 09:37",@Saba1974 tak ada broker retail yg meramaikan di $PANI kah?,PANI
"14 Dec 22, 09:26",$PANI waduhh...ada offer 5rb cuma freq 2 aja? yg buang siapaa nihh? 😂 atau nakutin aja? atau mau distribusi?,PANI
"14 Dec 22, 09:25",$PANI asemm barang sapa itu di 1000,PANI
"14 Dec 22, 08:39",$PANI yukk yukk ndar hari Rabu good dayy,PANI
"13 Dec 22, 22:11",$PANI LK keluarnya tahun depan aja nanggung 😁,PANI
"13 Dec 22, 17:54","$ARNA

$BELI $GOOD COM $PANI

Project ABUN = asal beli ujung2nya nyangkut",PANI
"13 Dec 22, 15:15",$PANI Selasa bad day 😭😭,PANI
"13 Dec 22, 14:57",$PANI Beli $GOTO enak lepas arb langsung cuan likuid lagi no fake,PANI
"13 Dec 22, 13:52",bersama legenda hidup pasar modal koh Andry Hakim kita kaya bareng cok! haka! $PANI $ISAP $ARTO $GOTO $IHSG,PANI
"13 Dec 22, 12:31",$PANI yuk bisa yuk kamu PANI sesuin 2 good day pliss 👍🏻🙏🏻🙏🏻,PANI
"13 Dec 22, 11:14",$PANI 17 hari lagi nie guys,PANI
"13 Dec 22, 10:21","$PANI Kalau direkomen grup2 rekomendasi saham fix turun ya

Nampak hari-hari sebelumnya sudah beli, promosikan ke member, dan dijual ke member

Tuhan maha pengampun, tapi pasar modal tidak ada ampun",PANI
"13 Dec 22, 09:31","halooo bocil scalper $PANI ituu GOTO seruuu, udah 1.2T rameee bangettt utk scalping. kok malahhh disini.

😂 😂",PANI
"12 Dec 22, 21:28","🌟PANI Review 12 December 2022 ⭐️

INFO SAHAM TERBAIK LINK DI BIO YA! 👈

PANI Rebound Support ?❗️

Terlihat beberapa hari ini ada penurunan $PANI sampai kepada support goldenrationya di level 985. Bisa dilihat di area di gambar, terlihat setelah itu PANI berpotensi menunjukkan pantulan yang cukup besar, sehingga seharusnya berpotensi untuk memanfaatkan momentum buy on weakness. Hari ini PANI dipantau mulai rebound tepat di support kuatnya dengan volume buy yang mulai ada.

Pantauan Lain




Saham ini cukup menarik untuk dipantau 👍
Gimana menurut kalian cuaners? 😊

[Info Saham Terbaik Link Di Bio! ❗️]

Analisa kembali, bukan ajakan membeli dan hanya opini disc on",PANI
"12 Dec 22, 21:17","🌟 [ $PANI REVIEW 12/12/2022] 🌟.

PANI BUY ON SUPPORT! baru saja rebound support harga 1000! dengan volume positif. Resisten da di harga 1100 dan 1200. Tren sideways. Cocok untuk daytade hingga swing. Highrisk. Risk reward ratio sehat. mampir ke bio kami ya buat potensi saham yang akan jalan. Semangat tradingnya!

[ 🌟 INFO SAHAM TERBAIK DI BIO! 🌟]

Bagaimana dengan pendapat para stockbitor? yuk komen dibawah!

Dianalisa kembali ya, bukan ajakan membeli, hanya opini.
*Bukan ajakan *disclaimer on *DYOR

koreksi terus selama desember tidak ada pernah hijau, area demand 6600 - 6500
godaan setan market telah memakan korban sangkuter
kena cobaan, resis di 9000.
tekanan jual tinggi

[AKSES REKOM TERBAIK DI BIO!]",PANI
"12 Dec 22, 14:22",$PANI good day,PANI
"12 Dec 22, 13:52",$PANI nah ayo warga xl haka dulu sampe ksini,PANI
"12 Dec 22, 13:38","Technicalist atau chartist harusnya bisa ngeliat peluang di $PANI, silakan atur Trading Plan dan MM nya, karena potensial.
Apakah bisa menutup gap 1110 sekaligus 61,8% fibonacci levelnya?",PANI
"12 Dec 22, 13:32","$PSKT sold dulu yaa...

nyari modal buat nambah di $PANI

DYOR
kagak ngajak jual atau beli saham apapun. 😂",PANI
"12 Dec 22, 13:30","menelaah bagger2 tahun ini apa yg bisa dipelajari?!
$SINI $BYAN $KRYA $CHEM $PANI BUMI",PANI
"12 Dec 22, 13:10",aku suka $PANI. @andryhakim ko,PANI
"12 Dec 22, 12:02",halu nya bisa kyk $PANI. wkwk,PANI
"12 Dec 22, 11:55",$PANI aset segini kalau hitung valuation saat ini 13.3T masih undervalue.,PANI
"12 Dec 22, 11:14",$PANI bonus akhir tahun udah cair tinggal ngisi amunisi...,PANI
"12 Dec 22, 11:09","Itu semacam bulletin dari sekuritas Trimegah ya?
Kalau emiten ditayangkan pada satu edisi nya, ya tentu ada alasan nya.
Tinggal tunggu saja ada sekuritas yang merekomendasikan $PANI",PANI
"12 Dec 22, 10:43",$PANI 18 hari lagi khah?,PANI
"12 Dec 22, 09:43","$PANI semoga nanti kamu disukain fund manager"" ya...... kalau ritel tektokers melulu bikin ngantuk.......",PANI
"12 Dec 22, 08:54",$PANI yukk good day hari Senin,PANI
"10 Dec 22, 14:56",$PANI sabtu2 liat youtube eh di beranda ada om @andryhakim di youtubenya mirrae asset...liat dulu ahh siapa tau ada bocoran....,PANI
"9 Dec 22, 22:46",$PANI gmna om 🙏,PANI
"9 Dec 22, 12:54","$PANI happy nice weeken yah holder PANI , aku liburan dulu ke Bali Sabtu n Minggu
mudah2 an sesion 2 hijau yah",PANI
"9 Dec 22, 11:38",$PANI masih adakah yg sangkut di > dari 1500,PANI
"9 Dec 22, 11:27",$PANI 21 hari lagi guys bagi yg tau ya di PANI,PANI
"9 Dec 22, 11:02","$PANI sisa cash 250 juta , titip pesan bagi2 scalper bocil2 , turunin ke 920, aku mau beli 50 juta di 920",PANI
"9 Dec 22, 10:13",$PANI yg mau nebar feae silahkan aku average 952 nie,PANI
"9 Dec 22, 10:13",$PANI 😭😭😭😭 harap hara cemas bad day guys,PANI
"9 Dec 22, 10:12",$PANI 995 n 990 persimpangan baf day or good day 😭😭😭,PANI
"9 Dec 22, 10:04","Wah bahaya ni $SMDR kalau @MarlonSitorus udah masuk. Bisa turun terus kayak $WIRG & $PANI.

Canda y pak 😃",PANI
"9 Dec 22, 09:35","$PANI hasil analisa bottom nya di 920😴, sekarang investor, mulai belanja lagi menjelang lk q3 rilis",PANI
"9 Dec 22, 09:16","$PANI bad day khah Jumat, biasanya Jumat merah merona
mudah2 an berkahhati ini buat holder PANI
yukk berharap hijau pekat ke 9 nagai",PANI
"8 Dec 22, 21:19","ini kok $PANI makin sepiii perdagangannya di week ke-1. apakah krn resesi? atau krn barang sedikit? atau pada wait & see? atau kapok cutloss? 🤣 🤣

PANI
1-8 Nov VS 1-8 Des
(Top 10 sekuritas)

1-8 Nov
Nett Buy :
112K lot value 12 Bio

Nett Sell :
88K lot value 9 Bio
====================
1-8 Des
Nett Buy :
44K lot value 4 Bio

Nett Sell :
54K lot value 5 Bio

#tau-tau2000
#operasi-senyap

*pendapat pribadi, gak ngajak jual & beli",PANI
"8 Dec 22, 16:36","$PANI 23 hari lagi bagi yg tau aja , yg ga tau DM aja",PANI
"8 Dec 22, 15:12",$PANI ntabb...sipakah yg haka..awww,PANI
"8 Dec 22, 13:58",$PANI masuk pa Joko good day,PANI
"8 Dec 22, 13:08",$PANI ngerti kan? masa gk ngerti? 🤣,PANI
"8 Dec 22, 11:35","$PANI






PANI lovers, sampai hari ini, Laporan Keuangan PANI per tanggal 30/9/2022, belum selesai di audit, dan masa berlaku Laporan Keuangan yang dipakai sebagai dasar corporate action berupa penerbitan obligasi ataupun rights issue, adalah 90 hari, yang akan jatuh tempo 31/12/2022 . Adapun corporate action harus mendapat Persetujuan Pemegang Saham melalui RUPS , tapi sampai hari inipun, belum ada rencana RUPS PANI. Sedangkan waktu untuk RUPS dan corporate action di bulan Desember 2022 hanya sisa 16 hari kerja. Tapi tidak ada yang mustahil bagi PANI. Tetap semangat💪",PANI
"8 Dec 22, 10:24",$PANI saatnya cicil cicil 😁,PANI
"8 Dec 22, 10:22","$EURO-W Senggol Dongg... 😂 😂

saatnya nambah muatan di $PANI

gak ngajak beli & jual
duit masing2
riset masing2",PANI
"8 Dec 22, 09:53",$PANI wadouww bad day lagi 😭😭😭,PANI
"8 Dec 22, 09:47",$PANI iris pelan2 biar pede yg nyangkut sampai tembus 800?,PANI
"8 Dec 22, 09:10",Laporan Bulanan Registrasi Pemegang Efek [PANI],PANI
"8 Dec 22, 08:32",$PANI waow,PANI
"7 Dec 22, 18:19","menarik...OK masuk Top 3 Buyer, OK akum terus $PANI gak jual, knp? apkh krn terafiliasi dgn Salim Grup? apakah hari ini 10.089 di bid buy harga 965 hanya 2 hit asumsi 2 org & menggunakan OK? gak tau juga...

sekilas nulis2 akum & distribusi GR :

Buy GR 15 Nov sd 07 Des

29 Nov 169jt avg 1036
18 Nov 313jt avg 1173
24 Nov 907jt avg 1222
7 Des 822jt avg 953

Sale GR 15 Nov sd 07 Des

1 Des 398jt avg 1014
2 Des 131jt avg 1015
6 Des 94jt avg 986

tuker2an barang antar sekuritas? bisa terjadi.
Asal pernah akum & pernah distribusi

jika full akum & tdk ada distribusi, apkh berarti mmg sdg ngumpulin barang?

kite liat besokk...mulai seruu krn muncul OK sbg Top 3 Buyer",PANI
"7 Dec 22, 16:26",masih bakal turun jauh inii $PANI,PANI
"7 Dec 22, 15:43",$PANI menarik 🙂,PANI
"7 Dec 22, 15:05",$PANI manipulasi closing kasih bid tebal tapi di close offer. Setiap hr begitu wkwkwk,PANI
"7 Dec 22, 15:04",$PANI arb in lg ngab..belum kenyang gw..mumpung dagangan starling ane lg rame nih,PANI
"7 Dec 22, 15:02","$PANI Senin 😭😭 Selasa 😭😭 Rabu 😭😭😭 bad day , Kamis gmna nie",PANI
"7 Dec 22, 15:02","$PANI cuaca IHSG lagi jelek, gak cuma PANI yg kena impact, bahkan big caps lain pun ikut keseret. saya cuma cek bid offer PANI hari ini, ada freq besar melakukan pembelian di ARB. dan hari ini, candle nya pun hammer, so it's a good sign. semoga bsk udah closing diatas 1000 lagi.

saya cicil2 aja PANI, dari harga Supra X sampai entah sudah jadi berapa Supra X sekarang.",PANI
"7 Dec 22, 14:47",$PANI ayo kerekkkk,PANI
"7 Dec 22, 14:12",$PANI sangat rindu dgn warna ijo pliss aguan,PANI
"7 Dec 22, 13:51",$PANI kgak kejemput di arb dah...keburu naik,PANI
"7 Dec 22, 13:34","yg tadi TP / CL di 920-945 di $PANI gmn rasanya? klo TP pasti happy, klo CL? 🤣 yukk cobaa masuk lagi trs turun & CL lagi. 🤣",PANI
"7 Dec 22, 13:24","$PANI sblm LK Q3 keluar, jangan harap naik tinggi harganya",PANI
"7 Dec 22, 12:21","$IHSG selain gara2 $GOTO… IHSG sedang berduka buat lord rangga sunda empire kali nih…

$PANI $HRUM $INDY",PANI
"7 Dec 22, 12:06",$PANI tukang nasi goreng pengen ijo di Pani nie om aguan,PANI
"7 Dec 22, 11:13",$PANI merah terus menunggu Ijo pekat,PANI
"7 Dec 22, 10:50",Sempat bertemu dengan salah satu investor $PANI Untuk menunggu volume bawah ( foto kemarin )✌️,PANI
"7 Dec 22, 10:42","$PANI kalau jodoh, nanti kita ketemu lagi ya dibawah....",PANI
"7 Dec 22, 10:27",$PANI sya memutuskan untuk TP dan menunggu volume di harga bawah🙏✌️,PANI
"7 Dec 22, 10:25",$PANI ap kabarnya ini ??,PANI
"7 Dec 22, 10:05",$PANI sambil nunggu lk keluar,PANI
"7 Dec 22, 10:01",$PANI 😭😭😭,PANI
"7 Dec 22, 09:58","@ipunk1989 iya $PANI offer hampir ga pernah tebel tapi bid bs saja habis tiba""",PANI
"7 Dec 22, 09:56",$PANI belanja lagi 3 juta di 920,PANI
"7 Dec 22, 09:55",$PANI create double bottom target 1600,PANI
"7 Dec 22, 09:49","$PANI hadeuh Senin, Selasa, Rabu bad day belanja terus tiada henti",PANI
"7 Dec 22, 09:42",$PANI,PANI
"7 Dec 22, 09:32",$PANI help 9 naga,PANI
"7 Dec 22, 09:24",$PANI ini tiap pagi bisa ditebak......bid offer tipis......orang yang beli kemarinnya mau jual diatas gak ada yg makan jadi buang ke kiri......akhirnya turun tipis hampir tiap hari.....sampai ada rebound belasan persen.......,PANI
"7 Dec 22, 09:23",$PANI pani ini harganya kyk gini krn org org ragu.krn laporan keuangan ngak keluar keluar.jd mrk tdk tahu ini saham untung ato rugi.bagi yg sdh survey mungkin tenang tenang aja.tp bagi kebanyakan org.survey nya liat laporan keuangannya.,PANI
"7 Dec 22, 09:08",$PANI wkwkwkwk aman ngab?,PANI
"6 Dec 22, 21:04",$PANI ezpez,PANI
"6 Dec 22, 14:54","$PANI catett , Senin n Selasa bad day 😭😭",PANI
"6 Dec 22, 14:52","$PANI
Personal view , Disc on !!!",PANI
"6 Dec 22, 14:38",$PANI yuk bandar Telkom masuk ke pani,PANI
"6 Dec 22, 14:02",$PANI mabuk laut lama2 qt ndar.. naik trun mlu ombknya..🤮,PANI
"6 Dec 22, 13:55","sudahkahh anda CutLoss Hari ini? $PANI

😂 😂 🤣 😂

sideways bikin mual ya? tarik dikit, trs banting, tariikkk trs banting... bobo aja...jgn liatin hrga $PANI tiap hari .. 😂 😂 😂",PANI
"6 Dec 22, 13:35 · Edited on 6 Dec 22, 13:36","VALUE INVESTING:
1.Pahami pengertian dan tujuan dalam berinvestasi
2.pahami dengan baik risikonya
3.pahami dengan kalimat istilahnya
4.screnning dgan teliti dan detail kategori layak serta memiliki fundamental yang baik ( pilih beberapa saja dan jangan membagi saldo RDN ke banyak emiten ) karna sangat tidak stabil.
5.tetapkan value and gain yang ingin dicapai
6.tetapkan target waktunya
7.persiapkan rencana alternatif, apabila terjadi situasi yang menyebabkan kurangnya optimal target gain.
8.jagalah kualitas psikologis dan jangan Fomo",PANI
"6 Dec 22, 13:16",$PANI,PANI
"6 Dec 22, 13:16","Ayooo Ndar Banting $PANI nya, jangan sungkan2
Bikinin arb dong",PANI
"6 Dec 22, 11:40","@CalmTrading..banyak....@KEEN ,@MEDC ,@PANI ,@CAKK",PANI
"6 Dec 22, 10:46",$PANI waduh😭kalo pekat merah kaya gini gajadi bikin rumah di Oman bang@MarlonSitorus😖,PANI
"6 Dec 22, 10:30","@ipunk1989 Wis Kaboten Pak, keberatan. Lelah Hayati ini . 😂 😂 penak ning $PANI thooo....? 😆 😂",PANI
"6 Dec 22, 09:41",$PANI ada Aguan yg ganjel di 980,PANI
"6 Dec 22, 08:44","$PANI om Aguan hari ini ulangtahun ku, kasih hadiah hijau pekat ya",PANI
"6 Dec 22, 07:53",$PANI 24 hari lagi kita akan sabar menunggu holder Pani,PANI
"5 Dec 22, 15:02",$PANI tukang tipu itu akan selalu memcari pembenaran atas kerugian orang2,PANI
"5 Dec 22, 14:49",$PANI catett Senin bad day 😭😭,PANI
"5 Dec 22, 14:39",$PANI ayo bang @MarlonSitorus tarik donk sparing sama ko AGUAN,PANI
"5 Dec 22, 14:10",$PANI avrg 950 ketar ketir,PANI
"5 Dec 22, 14:08",$PANI bad day lagi 😭😭,PANI
"5 Dec 22, 14:01",$PANI dibantai terus uangmu kok pasrah,PANI
"5 Dec 22, 14:00",$PANI cugg merah,PANI
"5 Dec 22, 11:15",Makin kesana makin kesini ya $PANI $AHAP $BBHI,PANI
"5 Dec 22, 10:51",$PANI liat pani jd ngantuk.....mudah mudahan bangun tidur aka berita bagus,PANI
"5 Dec 22, 10:04","scalping tuhhh disini $BOSS volume sedang naik..

atauuu beli saham $GOTO dipasar nego, harga saham unlock karyawan cuma 2 perak. kite beli deh 3 perak. 😂🤣

gitu ya bocil scalper, jgn ikut kata org, $PANI utk buy and hold

DYOR
#gak ngajak jual beli",PANI
"5 Dec 22, 09:33","bgmn scalper $PANI ? belum lelah? 😂 😆 belum habis modalnya? 😂 😂
klo scalper ulung gak akn mau ke volume yg gak nyampe 1 Milyar di jam 09.32

#tetapsemangat-menghabiskan modal. 😂 😂",PANI
"5 Dec 22, 09:17",$GOTO biadap emang wkwkwk….holder $BYAN $PANI $HRUM $INDY slow aja 😀😀😀😀…,PANI
"5 Dec 22, 08:51","$JIHD Aguan related-stock.
Apakah $PANI wannabe ?

que sera sera, i placed a bet on you.
saat ini analisa saya cuma berdasarkan transaksi.",PANI
"5 Dec 22, 08:14",$PANI investor mu menunggu terbitnya laporan keuangan Q3,PANI
"4 Dec 22, 06:20 · Edited on 4 Dec 22, 18:04","$GOTO ARB 7x kayanya masih blm habis juga itu offer tebel x sampe masuk muri. Berasa main kripto aja 😁
$WIRG $PANI $BBCA $BUMI",PANI
"3 Dec 22, 23:10 · Edited on 3 Dec 22, 23:11","$PANI segini banyak yang nonton dan bayar hampir 3 juta buat event 2 hari ini dan besok yaitu head in the clouds di community park PIK2...... selamat PIK 2 untuk event skala besar pertamanya...... minggu depan mulai Pokemon Run juga....... dibikin rame daerahnya biar orang beli properti nya.......

nanti pas sudah jadi mata elang international stadium......semua acara akan disana.......",PANI
"3 Dec 22, 15:49","@WillDjon semua saham yg ad nama bos aguan $INPC $JIHD semua anteng2, ap $PANI $PDPP akan menyusul ?

history repeat itself",PANI
"3 Dec 22, 14:24 · Edited on 3 Dec 22, 14:40",ya harus dijual ini oasa kabur... sampah. kirain kyk $PANI. wlwk bandar Oasa kere,PANI
"3 Dec 22, 12:49","$PANI belum tentu jadi backdoor PIK2. pantau PDPP, pelan-pelan bos Aguan akuisisi, yang kalau dia mau, bisa saja akuisisi 100% saham PPDP, toh uang kecil buat dia. Aneh aja sekaliber Aguan beli saham PDPP dikit-dikit dengan alasan investasi. pengusaha kakap masak investasi perusahaan ecek-ecek. saya curiga pasti ada kaitannya dengan next backdoor.",PANI
"3 Dec 22, 12:39","$PANI nengok bentar ...ahh belum keluar juga LK nya , besok tengok lagi,, bikin gemesss kamu pani",PANI
"3 Dec 22, 06:33",@BimaAdiWiryo $PANI juga ada,PANI
"2 Dec 22, 19:16",$PANI 3.minggu lagi menahan rasa rindu release nya LK q3,PANI
"2 Dec 22, 15:24",$PANI senin selasa lanjut merah yuk,PANI
"2 Dec 22, 14:10",$PANI pantauIDX sapa tau dah rilis laporannya,PANI
"2 Dec 22, 12:09","one of 9 Naga Masuk $PDPP

kira kira jadi the next $PANI ga ya?


$GOTO $BBCA $MDKA",PANI
"2 Dec 22, 10:04",$PANI yuk bisa yuk,PANI
"2 Dec 22, 09:34",$PANI om Aguan tolong kami donk,PANI
"2 Dec 22, 09:28","$PANI volumenya skrg imuttt utk seukuran market cap > 5 T & lucunya msh ada yg nyoba scalping. jikalau volume $PANI lebih imutt lagi, bisa menyerupai $SOTS

JumatBerkah
Jalan-JalanDulu

🤣 😆",PANI
"2 Dec 22, 09:22","$BSBK$PANI$RAFI satu aliran,,, isu di kerek akirnya di banting. 🤣🤣🤣🤣",PANI
"2 Dec 22, 09:21",$PANI galau cug 😭😭,PANI
"2 Dec 22, 08:58","$PANI hari Jumat pasti bad day , selalu begitu Jumat merah😭😭😭😭😭😭, mudah2 tidak terjadi tuk hari ini",PANI
