,comments,date
10,"🐓+ 🐔
= 🐣🐤🐥

YAS! $JPFA

PERSIAPAN BBQ an 💥

idealnya sihhh lebih nyamannya sih...
seharusnya sih ....
pengennya sih.....
ke kotak hijau itu duluu.. daerah 1150-1200
eh eh...
malah udah mantul pulak...a

✔️Membaik pada Tahun 2023, Begini Rekomendasi Saham CPIN dan JPFA




malah muncul good newsnya 🤣🙈. semoga aja deh diskon dulu ke kotak hijau. kalau enggak dikasih ya ..

Saatnya mainkan dan ikut dslam mommentum rame.

spec buy 1270-1290
SL <1220
Take Profit terdekat , 1450-1500+

1) Take profit swing , 1560-1635+
2) Take Profit swing , 1680-1790+
3) take profit swing, 1850-1920+


Disclaimer On.
Monggo & Punten analisa ulang lagi ya

Happy Cuan
God Bless!
Have a nice dayyyy!

izin di tag","13 Dec 22, 06:58"
11,"#investasi #saham #trading
Trading Idea Saham Swing 13 Desember 2022 sebagai berikut:
$ADMF
$ERAA
$JPFA
$UNTR
$CPIN

Selengkapnya: https://cutt.ly/10dH3OY
Disclimer on, bukan ajakan jual atau beli. Hanya sharing trading plan pribadi","12 Dec 22, 20:34"
12,"$TLKM Pola Double top ditambah kerugian 4T lebih di $GOTO , kalau rilis lapkeu Q4, telkom bisa meluncur kebawah ini . Jadi seram beli telkom utk windows dressing. Jauhin dulu deh $TLKM , meskipun hari ini naik 1%.

Hari rabu The fed bakal ambil keputusan lagi , harga komoditas bakal sedikit kena guncangan lagi. Hati hati utk Minyak , gas dan batubara , tapi tetap yakin bakal naik lagi awal tahun depan

Beli $MEDC utk harga sekarang masih beresiko karena besok masih bisa di TP lagi , tapi kalau utk jangka panjang masih murah . Yg benar2 an masih murah ya dan

$Disclaimer On

😁","12 Dec 22, 15:22 · Edited on 12 Dec 22, 15:23"
13,$JPFA BUY and HOLD,"12 Dec 22, 09:04"
14,Laporan Bulanan Registrasi Pemegang Efek [JPFA],"11 Dec 22, 03:40"
15,"""IHSG harus beli pas level berapa?""

Thread ini merupakan thread yg saya tulis di penurunan IHSG yg sebelumnya (30 September 2022) dan mungkin masih cukup related dengan penurunan IHSG di desember kali ini.

Bagi anda semua yang goyah dan tidak tau harus ngapain di kondisi IHSG yg seperti ini mungkin akan cocok dengan thread yang ini

Link:


Random","10 Dec 22, 17:16"
16,serok $JPFA di 800 sy siap gan,"9 Dec 22, 16:31"
17,"Gila sih $IHSG dari tanggal 1 belum di kasih ijo,
minggu besok yang ada dana serok sih menurut gw, banyak saham yg under value bgt tp karna ikut2an $GOTO jadi merah sengaja...be smart, perusahaan makin untung tp harga sahamnya sengaja di jatuhin biar Indeks kita turun...
$JPFA $ERAA $ADHI","9 Dec 22, 15:25"
18,$JPFA otw 1000. 😥😥,"9 Dec 22, 14:21"
19,"$JPFA yaaa berita muncul , padahal berharap turun lebih dalam lagi 🥲","9 Dec 22, 08:40"
20,"$JPFA $CPIN

Membaik pada Tahun 2023, Begini Rekomendasi Saham CPIN dan JPFA

https://bit.ly/3rkXfgO -  JAKARTA. Prospek industri perunggasan atau poultry pada 2023 diprediksi positif. Dimana pemulihan konsumsi menjadi pendorong utama bagi segmen pakan dan harga daging ayam yang lebih stabil. 

https://bit.ly/3FDVouw","9 Dec 22, 08:35"
21,"NH Morning Brief – Dec. 9, 2022

Today’s Outlook
Klaim pengangguran mingguan meningkat, mendorong jumlah pengangguran ke level tertinggi 10 bulan, meningkatkan harapan kenaikan FFR akan segera melambat. Nasdaq yang padat teknologi naik lebih dari 100 poin, atau memimpin apresiasi Wall Street. Data menunjukkan, Initial Jobless Claims AS yang berakhir 3 Des. sebanyak 230K klaim (+1,8% WoW), dengan Continuing Claims yang berakhir 26 Nov. naik ke level 1,7 juta klaim atau level tertinggi sejak Feb. 2022 lalu, di tengah ekonomi era inflasi dan suku bunga tinggi. Di sisi lain, ekonom mencerna data klaim pengangguran ini yang relatif bias, karena mendekati musim liburan dan perusahaan cenderung menutup sementara atau memperlambat perekrutan, dapat kembali mengindikasikan bahwa pasar tenaga kerja AS tetap solid.

Optimisme konsumen memangkas penurunan IHSG. Walaupun Consumer Confidence Index Indonesia Nov. sedikit menurun ke level 119,1 (Vs. Okt. 120,3) di tengah sentimen kebijakan efisiensi sejumlah perusahaan rintisan, namun level ini masih jauh berada pada area optimis (>100). Survei optimisme konsumen ditopang oleh usia produktif 20-30 tahun yang yakin akan ekspektasi penghasilan dan ketersediaan lapangan kerja. Kemarin, IHSG sempat terdepresiasi ke level 6.683 poin, sebelum akhirnya ditutup di level 6.804 atau hanya melemah 15 poin secara harian. Ditengah sejumlah sentimen, NHKSI Research memproyeksikan IHSG akhir pekan ini, berpeluang bergerak bullish jangka pendek.

Foreign Transaction (IDR bn)
Buy 4,784
Sell 6,810
Net Buy (Sell) (2,023)
Top Buy NB Val. Top Sell NS Val.
INKP 42.6 BMRI 515.3
INCO 41.7 BBCA 484.8
AMRT 29.4 TLKM 337.5
SMGR 24.5 ASII 258.0
BUMI 18.9 ADRO 135.6

Company News
SMDR: Tunda Aksi Stock Split
AKRA: Jual Entitas Usaha
EXCL: Akan Lakukan Right Issue

Daily Technical 9 December 2022
IHSG
Bullish jk.pendek – sukses rebound setelah Uji Support mid-term.
Candle: long-leg Hammer / Dragonfly.
RSI positive divergence.
S: 6700-6683 / 6650.
R: 6960-7000 / 7105 / 7225 / 7355-7377.

BBTN
Speculative Buy.
Entry Level: 1400.
Average Up >1420.
Target: 1470-1480 / 1500 / 1540.
Stoploss: 1370.

JPFA
Speculative Buy
Entry Level: 1265-1245.
Target: 1300 / 1330 / 1350.
Stoploss: 1220.

INCO
Buy.
Entry Level: 7375-7300.
Average Up >7700
Target: 8000 / 8150-8225.
Stoploss: 7100.

ANTM
Speculative Buy.
Entry Level: 1990-1980.
Average UP >2000.
Target: 2080 / 2200-2220 / 2270-2340.
Stoploss: 1900.

ASII
Speculative Buy.
Entry Level: 5675.
Average Up >5825.
Target: 6000-6100 / 6300.
Stoploss: 5450.

DISCLAIMER ON

Corporate Calendar
Date Event
Friday RUPS: BRPT
9 - Dec. Cum Dividend: TBLA, POWR, MFMI

Global Indices
Index Last Chg. %
Dow Jones 33,781.48 183.56 0.55%
S&P 500 3,963.51 29.59 0.75%
FTSE 100 7,472.17 (17.02) -0.23%
DAX 14,264.56 3.37 0.02%
Nikkei 27,574.43 (111.97) -0.40%
Hang Seng 19,450.23 635.41 3.38%
Shanghai 3,197.35 (2.27) -0.07%
Kospi 2,371.08 (11.73) -0.49%
EIDO 22.85 0.18 0.79%

Commodities
Commodity Last Chg. %
Gold ($/troy oz.) 1,789.1 2.9 0.16%
Crude Oil ($/bbl) 71.46 (0.55) -0.76%
Coal ($/ton) 395.50 (10.15) -2.50%
Nickel LME ($/MT) 29,725 (1716.0) -5.46%
Tin LME ($/MT) 24,625 319.0 1.31%
CPO (MYR/Ton) 3,943 (26.0) -0.66%

Sources: Bloomberg, NHKSI Research
Opening Account :
Whatsapp : 081290872816
©NH Korindo Sekuritas Indonesia","9 Dec 22, 08:32"
22,$JPFA,"9 Dec 22, 00:32"
23,"$WMUU

siap2, pemilik masih akan buang ke retail ratusan M ke Retail dan pasar,

karena background sesungguhnya pemilik bukan pebisnis

Rp 50 menanti,

cari emiten yg waras, cut loss bukan memalukan

ada ,
yang masih bagus2 dan bener2 pelaku bisnis yg jujur.","8 Dec 22, 22:43"
24,$JPFA mungkinkah nutup GAP waktu 2 Juni 2020 - 3 Juni 2020 ?,"8 Dec 22, 10:56"
25,$JPFA Ayo distribusi terus. Saya trus average down..🤤,"8 Dec 22, 09:55"
26,"$BRIS hm,,, kok gk ARB si,

$JPFA $WMUU","8 Dec 22, 09:28"
27,"$BRIS ok terjun ke 1.000

$JPFA $WMUU","7 Dec 22, 18:47"
28,"$JPFA area buy in place


https://cutt.ly/018xlqH","7 Dec 22, 12:07"
29,JPFA msh kecil tu.. aman itu sy lbh dr situ beli di 1560.. 50% maret taun ini.. avg mentok di. 1480 udh beres nggak ada uang lg.. mending ke yg lain.. minus parah.. saham yg bikin miskin $JPFA secara YoY,"7 Dec 22, 09:11"
30,"NH Morning Brief – Dec. 7, 2022

Today’s Outlook
Strong Dollar mendorong U.S Trade Deficit lebih dalam. Apresiasi nilai tukar USD seiring FFR bertahan di level tinggi, membuat barang manufaktur AS kurang kompetitif di pasar global, ekspor AS turun 0,7% MoM ke level terendah dalam tujuh bulan terakhir. Tekanan ekspor menunjukkan Trade Deficit akan membebani ekonomi AS 4Q22. Di sisi lain, Strong Dolar meningkatkan daya tawar USD terhadap mata uang negara lain, impor AS tumbuh 0,6% MoM. Data Bloomberg menunjukkan, Trade Balance AS Oct. mencatatkan defisit senilai -USD 78,2 Miliar (Vs. Sept. -USD 74,1 Miliar) atau Trade Deficit meningkat 5,5% MoM. Saham di Wall Street diperdagangkan lebih rendah, dengan Nasdaq terdepresiasi hingga 2%.

ICE Newcastle kembali menembus level psikologis USD400/Ton. Selain harapan pelonggaran Zero-Covid Policy China, meningkatnya harga gas Eropa, kembali mendorong harga komoditas batu bara. Sektor Energi terapresiasi 0,5%; atau satu-satunya sektor yang mencatatkan kenaikan kemarin. Adapun, Sektor Infrastruktur dan Bahan Dasar, masing-masing terdepresiasi lebih dari 2%, seiring dengan pelemahan IHSG atau turun 95 poin ke level di bawah 6.900. Menantikan rilis data Cadev Indonesia pagi ini, NHKSI Research memproyeksikan IHSG berpeluang bergerak minor-term bearish.

Foreign Transaction (IDR bn)
Buy 5,198
Sell 6,540
Net Buy (Sell) (1,343)
Top Buy NB Val. Top Sell NS Val.
MDKA 60.6 BBCA 593.7
EXCL 26.2 TLKM 275.3
SMGR 22.2 BBNI 219.0
EMTK 13.6 BBRI 65.3
ITMG 11.2 UNTR 60.6

Company News
BYAN: Realisasi Capex Capai IDR2,56 T
INOV: Catatkan Rugi IDR8,97 Miliar
HRUM: Bagikan Dividen IDR1 T

Daily Technical 7 December 2022
IHSG
Technical view: minor-term Bearish (break critical Support Sideways trend).
Uji Support jk.menengah.
S: 6870-6820.
R: 6960-7000 / 7020-7030 / 7105-7130.

JPFA
Buy on Weakness.
Entry Level: 1260-1240.
Average Up >1275.
Target: 1320-1340 / 1360.
Stoploss: 1220.

SMGR
Speculative Buy (or Buy on Weakness).
Entry Level: 7100-7175.
Target: 7500.
Stoploss: 7075.
BUYBACK: 6800-6700.

INTP
Speculative Buy.
Entry Level: 9975.
Average Up >10000-10100.
Target: 10600-10700.
Stoploss: 9800

UNTR
Speculative Buy (or Buy on Weakness).
Entry Level: 28100.
Average UP >28625.
Target: 29400-29700 / 30000 / 30700-31000.
Stoploss: 27800.
BUYBACK: 26500.

WIIM
Speculative Buy.
Entry Level: 710-690.
Target: 730-740 / 790-800.
Stoploss: 680.

DISCLAIMER ON

Corporate Calendar
Date Event
Wednesday RUPS: MAPB, BJTM
7 - Dec. Cum Dividend: SMMT

Thursday RUPS: PSSI, EURO
8 - Dec. Cum Dividend: --

Friday RUPS: BRPT
9 - Dec. Cum Dividend: TBLA, POWR, MFMI

Global Indices
Index Last Chg. %
Dow Jones 33,596.34 (350.76) -1.03%
S&P 500 3,941.26 (57.58) -1.44%
FTSE 100 7,521.39 (46.15) -0.61%
DAX 14,343.19 (104.42) -0.72%
Nikkei 27,885.87 65.47 0.24%
Hang Seng 19,441.18 (77.11) -0.40%
Shanghai 3,212.53 0.72 0.02%
Kospi 2,393.16 (26.16) -1.08%
EIDO 22.87 (0.58) -2.47%

Commodities
Commodity Last Chg. %
Gold ($/troy oz.) 1,771.0 2.4 0.13%
Crude Oil ($/bbl) 74.25 (2.68) -3.48%
Coal ($/ton) 408.80 8.30 2.07%
Nickel LME ($/MT) 29,271 591.0 2.06%
Tin LME ($/MT) 24,814 368.0 1.51%
CPO (MYR/Ton) 4,094 127.0 3.20%

Sources: Bloomberg, NHKSI Research
Opening Account :
Whatsapp : 081290872816
©NH Korindo Sekuritas Indonesia","7 Dec 22, 08:34"
31,"$IHSG $INTP $GOTO $TLKM $JPFA Legend saying 😘

Bob Farrell's 10 Rules
https://cutt.ly/a13KZJV","7 Dec 22, 08:32"
32,"$JPFA di tunggu ke 3000 gaes, seperti 4 feb 2019","7 Dec 22, 07:11"
33,"Halo, Salam Kenal Teman teman🙏🏻
Prediksi Saya tentang harga saham emiten $JPFA
-
Jangan lupa untuk Follow akun ini untuk mendapatkan Update prediksi saham
Dan berikan TIP💰 pada postingan saya
Terimakasih 🥰
-
*Disclaimer On","6 Dec 22, 13:19 · Edited on 6 Dec 22, 13:19"
34,$JPFA ahirnya hijau jga🤣,"6 Dec 22, 11:38"
35,"$JPFA sih yg aneh, tapi ya gmana lagi saham wong udah ada bandar ya ikutin aj bandar ya","6 Dec 22, 10:51"
36,$JPFA apakah akan rebound ? 🤔,"6 Dec 22, 09:33"
37,$JPFA pembantaian Ritel,"6 Dec 22, 09:20"
38,"$JPFA critical support 1150~1100, jika tembus next support 1000~800","6 Dec 22, 06:15"
39,$JPFA sangkkkooooooottt,"5 Dec 22, 17:51"
40,"$JPFA $MAIN $CPIN $GOTO $WIRG

IHSG lagi un-dressing.
meme-vesting.","5 Dec 22, 17:43"
41,$JPFA $IHSG bandar lagi jualan kenceng... para retail di iris tipis2 yang berakhir tebal... selamat menikmati ke halu an yang merah... ingat masih pesta coal...,"5 Dec 22, 17:38"
42,"Anggapan retail seperti ini, akhir tahun pasti harga ayam sama telur pasti naik deras pasti $JPFA pendapatanya juga naik.
seturun apapun harganya pasti di average down sama para retail.

Tapi bandar malah sebaliknya Semakin dikoleksi retail maka bandar akan semakin senang distribusi, karna memanfaatkan angapan tersebut.

sooo, ayo kawan kawan kita wait and see aja dulu, biyarin bandar distribusi sesuka hati dia, nanti juga cape sendiri distribusinya kalo para retail gak ada yang beli sahamnya lagi, kalo bandar udah cape baru kita serok. 🤣🤣🤣


#kalobisaJangankalahsamabandar","5 Dec 22, 16:30"
43,$JPFA 1550 avg ke 1480 dan makin dalam..,"5 Dec 22, 14:53"
44,$JPFA Ayuk up in suhu ..mau mudik gas gas,"5 Dec 22, 14:42"
45,$JPFA so nice! kutunggu di harga corona 780 perak,"5 Dec 22, 14:37"
46,$JPFA akhir taun auto seceng,"5 Dec 22, 13:42"
47,"$JPFA kenapa ya?
jauh kali turunnya

ada isu negatif apakah?","5 Dec 22, 13:12"
48,$JPFA holder lama still chillin,"5 Dec 22, 11:27"
49,$JPFA harga telur udah 32rb gais,"5 Dec 22, 11:22"
50,$JPFA disabari saja sampai 2023 insya' Allah balik ke 1700an,"5 Dec 22, 09:40"
51,"Skydrugz Corner: Emiten Pakan Ternak Undervalued?

Di postingan sebelumnya kita sudah bahas saham LQ45 https://cutt.ly/l1XlWpG

Di postingan kali ini kita bahas saja emiten pakan ternak. Mengapa? Karena sepanjang 2022, emiten ternak menjadi emiten yang terbuang. Bisa kita lihat sepanjang 2022 ini, emiten pakan ternak terbuang seperti tidak ada harganya. CPIN Si Raja Pakan saja minus 3,78% di 2022. WMUU yang paling sedih karena anjloknya sampai 33,33%.

Selengkapnya

Disclaimer:","5 Dec 22, 08:05"
52,"Becareful Technical Analyst!

Friendly reminder buat teman-teman yang juga seorang ""penggaris"" seperti saya.
Langsung to the point aja, para big players mereka yang punya modal besar mampu membaca pola pemikiran kita sebagai ritel, mereka mengambil kesempatan saat kita entry dengan melihat support resistance sebagai exit liquidity mereka.

Sebagai contoh $JPFA dan $GOTO terlepas dari lock up saham, dapat dilihat bahwa banyak uang ritel melayang ketika entry pada support kuatnya, padahal saham tersebut sedang dalam strong downtrend. Berharap akan terjadi rebound atau double bottom malah dikarungi ditambah lagi dengan sentimen lock up saham goto.

Please be careful dan harus pintar2 dalam mengambil kesempatan entry, ada baiknya kesempatan untuk entry on support dilakukan pada pola saham yang sedang uptrend karena hal tersebut juga akan dimanfaatkan big money untuk menahan harga saham sehingga mengakumulasi keuntungan yang lebih besar ketika saham melanjutkan kenaikannya.","5 Dec 22, 07:00"
53,"Emiten Unggas CPIN, JPFA, MAIN, Dkk Peluang Nikmati Kenaikan Laba 2023
https://bit.ly/147E996, JAKARTA — Emiten-emiten di sektor perunggasan diproyeksikan memiliki prospek positif tahun depan. Ruang margin yang lebih lebar untuk segmen pakan dan harga daging ayam yang lebih stabil menjadi pendorong utama perbaikan kinerja.Sampai akhir kuartal III/2022, mayoritas emiten unggas me...","5 Dec 22, 05:55"
54,"$WMUU ,
peforma yg tdk begitu menonjol,
harga juga tidak murah,

bagus emiten yg msh murah dan kinerjanya bagus



buy $LSIP , $BDMN , $JPFA

sell target Rp60","5 Dec 22, 01:49"
55,"Info Singkat saham untuk 5 Desember 2022 (bukan rekomendasi jual-beli) :

$JPFA : Rangenya Rp 1.250,- (support ) s/d Rp 1.335,- (resistance). Posisi bandar masi keluar sebesar Rp 41,2 milyar selama seminggu terakhir. Untuk JPFA wait and see dulu karena baru saja breakdown dari Rp 1.335,- baru ada harapan jika bisa kembali keatas Rp 1.335 dalam beberapa hari kedepan.

$EMTK : Rangenya lebar yakni rangenya Rp 1.220,- (support) s/d Rp 1.350,- (resistance). Posisi bandar masi keluar sebesar 114,52 milliar selama seminggu terakhir. EMTK saat ini cenderung sudah oversold / jenuh jual, semoga saja ada technical rebound paling tidak ke Rp 1.350.

: Rangenya pendek yakni Rp 700,- (support) s/d Rp 730,- (resistance). Posisi bandar masi didalam sebesar 10,21 milliar di harga rata-rata Rp 705 selama seminggu terakhir. Untuk BJTM sepanjang masi diatas are Rp 700-705 maka masi potensial.

Ingin mendapatkan informasi lengkap saham , , MEDC dan ikut polling saham-saham yang ingin dibahas setiap harinya ? yuk gabung ke grub seirine, link grub ada di profile seirine investama ya.

Harus diingat:
1. Jangan trading dengan brutal mentang-mentang melihat bandar ada didalam, gunakan money management yang baik.

2. ini hanyalah info singkat dan bukan rekomendasi jual-beli.

DISCLAIMER ON

""Semoga informasi ini berguna bagi teman-teman sekalian, support terus kami dengan ""LIKE"" dan ""FOLLOW"" akun stockbit.","4 Dec 22, 19:57"
56,$JPFA,"4 Dec 22, 17:42"
57,"$JPFA gess, kasih opini positif / negatif donk,
buat nih emiten","4 Dec 22, 12:14 · Edited on 4 Dec 22, 13:02"
58,"@Muryanto11 Mungkin jawaban singkatnya:

-Pertama, hal2 mengenai bandarmology dan juga technical analysis bukan merupakan area of expertise saya, jadi saya bukan orang terbaik yg di ajak diskusi mengenai bandar (plus saya kurang peduli hal2 bginian)

-Bandar jangan definisikan sebagai orang jahat. Lebih tepatnya anggap saja investor with big money (or an institution)

-2 huruf hanyalah kode broker

-Syarat menjadi bandar in general ya fund yang gede

-Apakah ad sekolah bandar? tidak ada sekolah bandar yg secara formal dan akademis, sekali lagi, bandar bukanlh pihak antagonis seperti cerita2 fiksi, tapi bandar hanyalah seorang pihak/institusi yg memiliki fund yg gede. Kalo mau jadi apa yg di sebut sebagai ""bandar"", cukup gedein uang anda :)

-Apakah kalo mo slalu untung hrus ikut bandar? unfortunately no. Mesti di ingat juga saya seorang investor pure aliran fundamental jadi saya tidak begitu memperdulikan pergerakan volume dan sebagainya, jadi lebih baik tanyakan pertanyaan ini ke suhu trading ataupun yg lbih ngerti

-Apakah ada komunitas bandar? I think yes, tapi palingan receh (apalagi yg modal grup telegram😅)

Once again, bandarmology + technical analysis bukan merupakan area of expertise saya, it is best to ask people who understand more than me (saya pure ikut fundamental tanpa embel2)

Random tags buat mungkin yg butuh","4 Dec 22, 09:00 · Edited on 4 Dec 22, 09:03"
59,$JPFA,"3 Dec 22, 22:57"
60,"Bagi teman2 yang punya ide topik ingin di cover oleh saya, bisa tuangkan ide topiknya di sini, thanks.

Random
$UNTR $JPFA $MYOR $AMRT $ACES","3 Dec 22, 20:19"
61,$JPFA,"3 Dec 22, 09:47"
62,"$WMUU sudah masuk SW tunggu BO 104 . area BUY 100-103 , mengingat mau Natalan & Tahun Baru harga daging2an pasti melonjak. colek kawannya $CPIN $JPFA $MAIN","3 Dec 22, 08:24"
63,"$JPFA strategi menangkap ayam lepas.. parah kirainnya ayamnya udah mau ketangkep eh ga taunya dia lepas lagi 🤣 ,, fix mau ke 1200 ini mah","3 Dec 22, 06:33 · Edited on 3 Dec 22, 06:35"
64,"ayam-ayam 🐤

$JPFA kenapa lesu yah...

$MAIN $CPIN

memang semua sektor ada musimnya","2 Dec 22, 23:59"
65,$JPFA yoook kesini dulu yook,"2 Dec 22, 21:11"
66,@Yoshiewafa ternyata bisa $JPFA,"2 Dec 22, 18:37"
67,$JPFA saran buat para retail besok jangan beli dulu biarin bandar main sendiri kita borong nanti diharga 1000 management money penting kalo diharga 1000 deviden 60 perak udah 6 persen anggap deposito kalo ente cicil terus sayang duit anda.,"2 Dec 22, 17:39 · Edited on 2 Dec 22, 17:42"
68,"@bunnyS trader yah? (bukan investor).
Suka tidak suka, mau tidak mau yah 'harus' dengan menggunakan simple TA dan psikologis market (dan market maker) + likuiditas yang terjadi/ update... dan hype nya bagaimana...

Konteks $JPFA dan sektornya untuk minggu ini 'kan bukan yang sedang hype atau ada news sesuatu, susah buat trading...

Pemikiran saya sih begini bro:
Big funds biasanya di bulan Nov-Des ini pada merotasi porto...

Nah, yang 'mengerikan' itu bila charts tembus support level = big funds seller udah nggak peduli dengan harga... mereka lebih peduli dengan 'tenggat waktu cuci gudang'...

dan ATAU...

Bisa saja hal tersebut = mark down, pura-pura sell untuk kemudian re-akumulasi lagi di level harga yang lebih rendah.

ATAU...

Bisa saja beneran dump big-funds A... begitu harga lebih rendah ada big Funds B yang dengan 'senang hati' akumulasi...

Good Luck everyone !","2 Dec 22, 17:15"
69,Hadir $JPFA and $BRIS,"2 Dec 22, 17:03"
70,$JPFA ku menangiiiiiissss,"2 Dec 22, 16:07"
71,$JPFA selagi si adik suka naget so nice sama sosis so nice .. tetep nabung bertahap .. yang lain ngomong apa terserah ..,"2 Dec 22, 15:21"
72,"$IHSG

HIDUP ALDO!

HAHAHA HAHA!

$BBCA
$BUMI
$JPFA","2 Dec 22, 12:59"
73,"$JPFA banyak yang bilang support 1.330 tembus bakal turun dan ternyata betul aja tembusss kebawah. tapi kalian sadar gk sih makna dari support dan sudut pandang market maker ?
pola fikir yang terbalik. banyak support yang tertembus di emiten lain, shingga kalau kita gambar support pun jadi acak (false) atau gk sesuai dngan apa yg diharapkan. nah dri sini lah saya tidak menggunakan itu lagi baik trendline, support, channel dll. abis market maker lebih cerdik dngn kita ritel cuma ada dana seuprit. Jika sanggup bertahan di market mari dilanjut, jika tidak mari cari tempat rezki lain.

mengetik hanya curcol dri hati aja si,, lagi mencari setup bagaimana bisa konsisten. masih belajr dngan lot sangat tipis tipis. ada user juga yg sudah ketmu setup konsisten nya sperti yg saya baca di stckbit klau gk salah ""Moonlitech"" cuma mengucpkan slamat sudah bertmu dngan set up nya. saat nya saya mencari juga,

jujur saya lgi pegang kedua emiten ini, sama si yang posisi sangkut.","2 Dec 22, 10:38"
74,$JPFA hold n tambah muatan,"2 Dec 22, 10:30"
75,$JPFA Ekuitas masih bertumbuh saham nye mleyot.. hahaa,"2 Dec 22, 09:52"
76,"$JPFA inget thn 2016 dulu beli jpfa gopekan bisa nembus 1000 perak, boleh jg klo diulang ndar😃","2 Dec 22, 09:33"
77,"$JPFA masuk watch list dulu nih saham bandar nya distribusi Mulu padahal kinerja bagus bisnis ga ada matinya kalo dikasih 1200 oke, utang gede juga dari dulu gede nih emiten, hutang dagang USD ke pihak berelasi kalo ngutangnya saat dollar tinggi bayarnya saat dollar turun bagus.. the Fed turunin suku bunga hari ini rupiah menguat 1 persen.. oke bang bandar lakukan tugasmu saya tunggu dibawah masuk besok 1 lot dulu buat biar tau harganya","2 Dec 22, 02:19"
78,"$JPFA , Kasih lah bos minimal segini masa gk bisa","1 Dec 22, 23:02"
79,"$JPFA Downtrend parah, hanya buat tektokan saja selama masih di channel.","1 Dec 22, 22:15"
